Dyad,Cov,SectionStartTime,SoundID,Start,End,Duration,SoundType,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_BodyOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_BodyOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_BodyOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_BodyOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_BodyOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min,S_BodyOnly_Min
1,1,3000,4,3691,3788,98,1,0.0,23.0,27.0,48.0,0.0,23.0,13.5,12.0,16.666666666666668,16.666666666666668,37.5,0.0,23.0,13.5,12.0,15.0,15.0,37.5,0.0,0.0,1.5,5.1478150704935004,4.6427960923947058,4.6427960923947058,23.5,0.0,1.0,2.0,4.0,3.0,3.0,2.0,0.0,23.0,15.0,19.0,23.0,23.0,61.0,0.0,23.0,12.0,5.0,12.0,12.0,14.0
1,1,3000,5,3789,3827,39,3,0.0,0.0,0.0,39.0,0.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,0.0,39.0,0.0,0.0,39.0
1,1,3000,6,3828,3992,165,1,0.0,0.0,29.0,136.0,0.0,0.0,29.0,68.0,29.0,29.0,165.0,0.0,0.0,29.0,68.0,29.0,29.0,165.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,29.0,97.0,29.0,29.0,165.0,0.0,0.0,29.0,39.0,29.0,29.0,165.0
1,1,3000,7,3993,4053,61,3,25.0,0.0,0.0,36.0,25.0,0.0,0.0,18.0,25.0,0.0,18.0,25.0,0.0,0.0,18.0,25.0,0.0,18.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,25.0,0.0,0.0,32.0,25.0,0.0,32.0,25.0,0.0,0.0,4.0,25.0,0.0,4.0
1,1,3000,8,4054,4085,32,1,0.0,0.0,20.0,12.0,0.0,0.0,20.0,12.0,20.0,20.0,32.0,0.0,0.0,20.0,12.0,20.0,20.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,20.0,12.0,20.0,20.0,32.0,0.0,0.0,20.0,12.0,20.0,20.0,32.0
1,1,3000,9,4086,4116,31,3,0.0,10.0,8.0,13.0,0.0,10.0,8.0,13.0,9.0,9.0,21.0,0.0,10.0,8.0,13.0,9.0,9.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,10.0,8.0,13.0,10.0,10.0,21.0,0.0,10.0,8.0,13.0,8.0,8.0,21.0
1,1,3000,10,4117,4173,57,1,8.0,2.0,16.0,31.0,8.0,2.0,16.0,10.333333333333334,8.6666666666666661,9.0,23.5,8.0,2.0,16.0,9.0,8.0,9.0,23.5,0.0,0.0,0.0,5.7927157323275891,5.7348835113617511,7.0,19.5,1.0,1.0,1.0,3.0,3.0,2.0,2.0,8.0,2.0,16.0,18.0,16.0,16.0,43.0,8.0,2.0,16.0,4.0,2.0,2.0,4.0
1,1,3000,11,4174,4227,54,3,0.0,0.0,0.0,54.0,0.0,0.0,0.0,54.0,0.0,0.0,54.0,0.0,0.0,0.0,54.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,0.0,0.0,54.0,0.0,0.0,0.0,54.0,0.0,0.0,54.0
1,1,3000,12,4228,4262,35,1,0.0,0.0,0.0,35.0,0.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,0.0,35.0,0.0,0.0,35.0
1,1,3000,13,4263,4278,16,3,0.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0
1,1,3000,14,4279,4429,151,1,0.0,0.0,43.0,108.0,0.0,0.0,43.0,54.0,43.0,43.0,151.0,0.0,0.0,43.0,54.0,43.0,43.0,151.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,43.0,70.0,43.0,43.0,151.0,0.0,0.0,43.0,38.0,43.0,43.0,151.0
1,1,3000,15,4430,4472,43,3,21.0,0.0,0.0,22.0,21.0,0.0,0.0,22.0,21.0,0.0,22.0,21.0,0.0,0.0,22.0,21.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0,0.0,0.0,22.0,21.0,0.0,22.0,21.0,0.0,0.0,22.0,21.0,0.0,22.0
1,1,3000,16,4473,4528,56,1,18.0,0.0,0.0,38.0,18.0,0.0,0.0,38.0,18.0,0.0,38.0,18.0,0.0,0.0,38.0,18.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,18.0,0.0,0.0,38.0,18.0,0.0,38.0,18.0,0.0,0.0,38.0,18.0,0.0,38.0
1,1,3000,17,4529,4546,18,3,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0
1,1,3000,18,4547,4601,55,1,30.0,0.0,0.0,25.0,30.0,0.0,0.0,12.5,30.0,0.0,12.5,30.0,0.0,0.0,12.5,30.0,0.0,12.5,0.0,0.0,0.0,7.5,0.0,0.0,7.5,1.0,0.0,0.0,2.0,1.0,0.0,2.0,30.0,0.0,0.0,20.0,30.0,0.0,20.0,30.0,0.0,0.0,5.0,30.0,0.0,5.0
1,1,3000,19,4602,4663,62,3,0.0,0.0,0.0,62.0,0.0,0.0,0.0,62.0,0.0,0.0,62.0,0.0,0.0,0.0,62.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,62.0,0.0,0.0,62.0,0.0,0.0,0.0,62.0,0.0,0.0,62.0
