Dyad,TotalDurationFace1_0s,MeanDurationFace1_0s,FrequencyFace1_0s,TotalDurationMonitor1_0s,MeanDurationMonitor1_0s,FrequencyMonitor1_0s,TotalDurationKeyboard1_0s,MeanDurationKeyboard1_0s,FrequencyKeyboard1_0s,TotalDurationAround1_0s,MeanDurationAround1_0s,FrequencyAround1_0s,TotalDurationFace1_200s,MeanDurationFace1_200s,FrequencyFace1_200s,TotalDurationMonitor1_200s,MeanDurationMonitor1_200s,FrequencyMonitor1_200s,TotalDurationKeyboard1_200s,MeanDurationKeyboard1_200s,FrequencyKeyboard1_200s,TotalDurationAround1_200s,MeanDurationAround1_200s,FrequencyAround1_200s,TotalDurationFace2_0s,MeanDurationFace2_0s,FrequencyFace2_0s,TotalDurationMonitor2_0s,MeanDurationMonitor2_0s,FrequencyMonitor2_0s,TotalDurationKeyboard2_0s,MeanDurationKeyboard2_0s,FrequencyKeyboard2_0s,TotalDurationAround2_0s,MeanDurationAround2_0s,FrequencyAround2_0s,TotalDurationFace2_200s,MeanDurationFace2_200s,FrequencyFace2_200s,TotalDurationMonitor2_200s,MeanDurationMonitor2_200s,FrequencyMonitor2_200s,TotalDurationKeyboard2_200s,MeanDurationKeyboard2_200s,FrequencyKeyboard2_200s,TotalDurationAround2_200s,MeanDurationAround2_200s,FrequencyAround2_200s
70,453,34.846153846,13,461,76.833333333,6,413,31.769230769,13,65,21.666666667,3,747,35.571428571,21,346,49.428571429,7,331,27.583333333,12,25,12.5,2,870,37.826086957,23,35,17.5,2,1682,84.1,20,121,60.5,2,706,47.066666667,15,133,66.5,2,1740,96.666666667,18,202,67.333333333,3
71,1129,45.16,25,57,19,3,292,17.176470588,17,0,0,0,1105,44.2,25,165,82.5,2,418,19.904761905,21,84,21,4,1152,54.857142857,21,420,52.5,8,694,38.555555556,18,8,8,1,921,38.375,24,442,55.25,8,1225,51.041666667,24,86,28.666666667,3
72,1294,107.83333333,12,253,36.142857143,7,140,35,4,86,28.666666667,3,1563,67.956521739,23,441,29.4,15,101,25.25,4,123,30.75,4,956,45.523809524,21,850,65.384615385,13,100,25,4,926,92.6,10,1325,69.736842105,19,731,66.454545455,11,16,16,1,617,56.090909091,11
73,1145,71.5625,16,0,0,0,348,43.5,8,15,7.5,2,573,52.090909091,11,0,0,0,523,65.375,8,221,31.571428571,7,1168,83.428571429,14,9,9,1,976,97.6,10,203,25.375,8,1387,77.055555556,18,16,16,1,764,50.933333333,15,230,23,10
74,1661,151,11,0,0,0,98,32.666666667,3,16,16,1,1256,48.307692308,26,0,0,0,203,29,7,195,17.727272727,11,2477,225.18181818,11,174,58,3,48,16,3,19,19,1,1986,110.33333333,18,104,26,4,473,36.384615385,13,71,35.5,2
75,635,35.277777778,18,37,18.5,2,447,44.7,10,25,25,1,429,33,13,0,0,0,287,31.888888889,9,28,14,2,1389,92.6,15,333,41.625,8,733,61.083333333,12,59,29.5,2,400,40,10,267,53.4,5,1123,93.583333333,12,574,71.75,8
77,657,43.8,15,264,29.333333333,9,221,27.625,8,51,25.5,2,935,77.916666667,12,166,27.666666667,6,55,55,1,0,0,0,1515,137.72727273,11,504,45.818181818,11,111,37,3,164,82,2,1631,125.46153846,13,302,33.555555556,9,77,25.666666667,3,179,29.833333333,6
78,1057,58.722222222,18,24,24,1,73,18.25,4,116,23.2,5,991,52.157894737,19,23,11.5,2,0,0,0,355,23.666666667,15,1715,81.666666667,21,284,31.555555556,9,130,26,5,427,32.846153846,13,1876,98.736842105,19,322,46,7,35,11.666666667,3,452,41.090909091,11
79,47,15.666666667,3,90,30,3,597,49.75,12,245,61.25,4,37,9.25,4,32,32,1,249,62.25,4,1169,106.27272727,11,707,64.272727273,11,100,33.333333333,3,113,22.6,5,1595,177.22222222,9,660,60,11,0,0,0,7,7,1,1786,137.38461538,13
80,410,34.166666667,12,535,107,5,510,46.363636364,11,524,52.4,10,175,29.166666667,6,528,75.428571429,7,272,68,4,748,83.111111111,9,155,38.75,4,630,105,6,310,62,5,1821,364.2,5,139,139,1,1546,386.5,4,31,31,1,660,132,5
