,Dyad,TotalDurationFaceLog1_0s,MeanDurationFaceLog1_0s,FrequencyFace1_0s,TotalDurationMonitorLog1_0s,MeanDurationMonitorLog1_0s,FrequencyMonitor1_0s,TotalDurationKeyboardLog1_0s,MeanDurationKeyboardLog1_0s,FrequencyKeyboard1_0s,TotalDurationAroundLog1_0s,MeanDurationAroundLog1_0s,FrequencyAround1_0s,TotalDurationFaceLog1_200s,MeanDurationFaceLog1_200s,FrequencyFace1_200s,TotalDurationMonitorLog1_200s,MeanDurationMonitorLog1_200s,FrequencyMonitor1_200s,TotalDurationKeyboardLog1_200s,MeanDurationKeyboardLog1_200s,FrequencyKeyboard1_200s,TotalDurationAroundLog1_200s,MeanDurationAroundLog1_200s,FrequencyAround1_200s,TotalDurationFaceLog2_0s,MeanDurationFaceLog2_0s,FrequencyFace2_0s,TotalDurationMonitorLog2_0s,MeanDurationMonitorLog2_0s,FrequencyMonitor2_0s,TotalDurationKeyboardLog2_0s,MeanDurationKeyboardLog2_0s,FrequencyKeyboard2_0s,TotalDurationAroundLog2_0s,MeanDurationAroundLog2_0s,FrequencyAround2_0s,TotalDurationFaceLog2_200s,MeanDurationFaceLog2_200s,FrequencyFace2_200s,TotalDurationMonitorLog2_200s,MeanDurationMonitorLog2_200s,FrequencyMonitor2_200s,TotalDurationKeyboardLog2_200s,MeanDurationKeyboardLog2_200s,FrequencyKeyboard2_200s,TotalDurationAroundLog2_200s,MeanDurationAroundLog2_200s,FrequencyAround2_200s
10,17,34.96666666666667,1.0927083333333334,32,7.033333333333333,0.4137254902,17,9.4,0.8545454545333333,11,0.36666666666666664,0.36666666666666664,1,26.2,0.8451612903333333,31,22.4,1.1789473684333334,19,9.333333333333334,0.9333333333333333,10,1.9333333333333333,0.48333333333333334,4,22.133333333333333,1.0539682539666666,21,37.63333333333333,1.2977011494333335,29,19.433333333333334,1.2145833333333333,16,7.433333333333334,0.5717948718,13,31.133333333333333,1.0377777777666668,30,35.3,1.8578947368333334,19,10.266666666666667,0.7897435897333333,13,3.3666666666666667,0.6733333333333333,5
11,18,28.433333333333334,2.1871794871666665,13,0.0,0.0,0,3.033333333333333,0.5055555555666668,6,0.4,0.4,1,11.3,0.6277777777666667,18,0.6666666666666666,0.22222222222333332,3,6.533333333333333,0.9333333333333333,7,14.733333333333333,1.2277777777666665,12,30.633333333333333,1.4587301587333334,21,2.066666666666667,0.5166666666666667,4,8.4,1.05,8,32.36666666666667,1.7035087719333333,19,24.966666666666665,2.080555555566667,12,2.066666666666667,2.066666666666667,1,2.033333333333333,1.0166666666666666,2,55.4,4.616666666666666,12
12,19,38.7,3.5181818183333333,11,3.1333333333333333,1.0444444444333334,3,2.5,0.8333333333333334,3,0.0,0.0,0,19.733333333333334,1.9733333333333334,10,0.0,0.0,0,9.4,1.88,5,0.5666666666666667,0.5666666666666667,1,56.36666666666667,7.045833333333333,8,10.133333333333333,1.6888888889,6,9.233333333333333,1.8466666666666667,5,0.0,0.0,0,76.16666666666667,15.233333333333333,5,2.7333333333333334,2.7333333333333334,1,1.9333333333333333,0.9666666666666667,2,2.566666666666667,1.2833333333333334,2
13,21,7.633333333333334,0.9541666666666667,8,31.7,3.17,10,16.366666666666667,1.6366666666666667,10,1.2,0.4,3,12.9,1.075,12,12.9,1.8428571428666667,7,19.566666666666666,2.4458333333333333,8,0.9,0.45,2,12.633333333333333,0.9023809523666666,14,33.5,2.5769230769333333,13,42.96666666666667,3.0690476190333333,14,2.066666666666667,2.066666666666667,1,11.8,1.3111111111,9,32.233333333333334,2.9303030303,11,26.8,2.9777777777666667,9,10.033333333333333,2.006666666666667,5
14,23,7.2,0.6545454545333332,11,4.766666666666667,1.1916666666666667,4,34.36666666666667,3.4366666666666665,10,7.6,1.9,4,5.0,1.25,4,20.233333333333334,10.116666666666667,2,17.5,4.375,4,23.033333333333335,5.758333333333334,4,8.166666666666666,1.6333333333333333,5,19.5,6.5,3,5.966666666666667,0.8523809523666667,7,55.53333333333333,9.255555555666666,6,2.566666666666667,1.2833333333333334,2,0.0,0.0,0,26.366666666666667,5.2733333333333325,5,62.8,12.56,5
15,24,26.0,0.9629629629666667,27,2.8666666666666667,0.7166666666666667,4,9.433333333333334,0.5240740740666667,18,1.1333333333333333,0.5666666666666667,2,21.166666666666668,1.1759259259333334,18,1.8,0.9,2,30.5,1.90625,16,9.6,0.9600000000000001,10,41.7,1.2636363636333334,33,3.6666666666666665,1.2222222222333334,3,46.03333333333333,1.7049382716,27,3.566666666666667,0.7133333333333333,5,49.53333333333333,1.4568627451,34,8.1,1.62,5,23.666666666666668,1.0757575757666666,22,4.466666666666667,0.6380952381,7
16,25,34.166666666666664,2.0098039215666668,17,1.5333333333333334,0.5111111111,3,12.566666666666666,1.1424242424333333,11,1.2666666666666666,0.6333333333333333,2,24.2,1.6133333333333333,15,16.366666666666667,2.7277777777666667,6,14.333333333333334,1.5925925926,9,0.26666666666666666,0.26666666666666666,1,57.86666666666667,4.451282051333333,13,16.4,2.7333333333333334,6,4.733333333333333,0.6761904762,7,6.466666666666667,1.2933333333333332,5,39.333333333333336,2.8095238095333332,14,31.033333333333335,4.433333333333334,7,10.1,1.6833333333333333,6,7.766666666666667,1.9416666666666667,4
17,26,21.3,1.065,20,24.9,1.55625,16,2.2333333333333334,0.5583333333333333,4,7.866666666666666,1.3111111111,6,25.933333333333334,1.6208333333333333,16,30.733333333333334,3.0733333333333333,10,8.966666666666667,1.2809523809666667,7,14.733333333333333,2.9466666666666668,5,20.2,1.1222222222333333,18,30.3,1.7823529411666668,17,9.033333333333333,1.0037037037,9,31.4,3.488888889,9,16.633333333333333,1.3861111111,12,27.5,3.055555555566667,9,9.666666666666666,2.4166666666666665,4,26.9,4.483333333333333,6
18,27,17.0,2.125,8,16.466666666666665,2.3523809523666666,7,1.7,0.85,2,7.766666666666667,3.8833333333333333,2,3.4,0.85,4,18.233333333333334,2.604761904766667,7,0.0,0.0,0,31.3,3.4777777776666667,9,9.4,1.3428571428666667,7,44.13333333333333,5.516666666666667,8,3.6666666666666665,1.8333333333333333,2,26.7,5.34,5,9.3,1.55,6,23.166666666666668,3.3095238095333332,7,0.0,0.0,0,49.53333333333333,12.383333333333333,4
19,28,37.0,2.6428571428666667,14,0.6,0.6,1,1.6333333333333333,0.8166666666666667,2,1.6666666666666667,0.8333333333333334,2,41.06666666666667,2.0533333333333332,20,4.066666666666666,1.0166666666666666,4,2.066666666666667,0.5166666666666667,4,3.7666666666666666,1.2555555555666666,3,64.3,4.286666666666666,15,6.3,1.575,4,10.4,0.8666666666666667,12,1.0666666666666667,1.0666666666666667,1,46.766666666666666,3.3404761903333333,14,3.533333333333333,3.533333333333333,1,4.6,1.15,4,13.233333333333333,2.205555555566667,6
