,Dyad,TotalDurationFaceLog1_0s,MeanDurationFaceLog1_0s,FrequencyFace1_0s,TotalDurationMonitorLog1_0s,MeanDurationMonitorLog1_0s,FrequencyMonitor1_0s,TotalDurationKeyboardLog1_0s,MeanDurationKeyboardLog1_0s,FrequencyKeyboard1_0s,TotalDurationAroundLog1_0s,MeanDurationAroundLog1_0s,FrequencyAround1_0s,TotalDurationFaceLog1_200s,MeanDurationFaceLog1_200s,FrequencyFace1_200s,TotalDurationMonitorLog1_200s,MeanDurationMonitorLog1_200s,FrequencyMonitor1_200s,TotalDurationKeyboardLog1_200s,MeanDurationKeyboardLog1_200s,FrequencyKeyboard1_200s,TotalDurationAroundLog1_200s,MeanDurationAroundLog1_200s,FrequencyAround1_200s,TotalDurationFaceLog2_0s,MeanDurationFaceLog2_0s,FrequencyFace2_0s,TotalDurationMonitorLog2_0s,MeanDurationMonitorLog2_0s,FrequencyMonitor2_0s,TotalDurationKeyboardLog2_0s,MeanDurationKeyboardLog2_0s,FrequencyKeyboard2_0s,TotalDurationAroundLog2_0s,MeanDurationAroundLog2_0s,FrequencyAround2_0s,TotalDurationFaceLog2_200s,MeanDurationFaceLog2_200s,FrequencyFace2_200s,TotalDurationMonitorLog2_200s,MeanDurationMonitorLog2_200s,FrequencyMonitor2_200s,TotalDurationKeyboardLog2_200s,MeanDurationKeyboardLog2_200s,FrequencyKeyboard2_200s,TotalDurationAroundLog2_200s,MeanDurationAroundLog2_200s,FrequencyAround2_200s
11,18,3.3821278189418047,1.159136352387019,13,0.0,0.0,0,1.3945931639345857,0.4091619699894905,6,0.3364722366212129,0.3364722366212129,1,2.509599262378372,0.4872157581268569,18,0.5108256237659906,0.20067069546215124,3,2.0193376176101303,0.659245628884264,7,2.7557816039234,0.8010045764163588,12,3.4542114169477727,0.8996450210312903,21,1.120591195386885,0.41651494429474933,4,2.2407096892759584,0.7178397931503168,8,3.5075573976530654,0.9945504744915198,19,3.2568136642085928,1.1251099559002113,12,1.120591195386885,1.120591195386885,1,1.1096621248546947,0.7014459833746404,2,4.032469158504013,1.725738368130261,12
12,19,3.681351187693145,1.5081096603042126,11,1.4190841839428814,0.7151260872787205,3,1.252762968495368,0.6061358035703156,3,0.0,0.0,0,3.0317427110770243,1.0896836579238085,10,0.0,0.0,0,2.341805806147327,1.0577902941478545,5,0.4489502200479032,0.4489502200479032,1,4.049463414549384,2.0851543590865234,8,2.409943611314545,0.9891280558264214,6,2.325650365925042,1.0461487191323688,5,0.0,0.0,0,4.34596758485818,2.7870667414204346,5,1.3173014896329391,1.3173014896329391,1,1.0761394328160512,0.6763400622435641,2,1.2716314527997508,0.8256363636060242,2
13,21,2.1556306800373823,0.6699638451042881,8,3.487375077903208,1.4279160358107101,10,2.8545526600912114,0.9695154931114528,10,0.7884573603642703,0.3364722366212129,3,2.631888840136646,0.7299611536826617,12,2.631888840136646,1.0448095826751334,7,3.0236716422432326,1.2371657716817,8,0.6418538861723947,0.371563556432483,2,2.6125177743806463,0.6431062344888606,14,3.5409593240373143,1.274502955131774,13,3.7834317710551595,1.403408971838177,14,1.120591195386885,1.120591195386885,1,2.5494451709255714,0.8377284093710529,9,3.5035533882996828,1.3687165298559179,11,3.3250360206965914,1.3807233160704353,9,2.4009209937149074,1.1008320454064227,5
14,23,2.1041341542702074,0.5035263212843791,11,1.7520942128356236,0.7846622893957185,4,3.565769756951828,1.4899033437389106,10,2.151762203259462,1.0647107369924282,4,1.791759469228055,0.8109302162163288,4,3.055572273910008,2.408445483693523,2,2.917770732084279,1.6817585740137264,4,3.179441755622794,1.910776311333367,4,2.2155737160044158,0.9682504708048661,5,3.0204248861443626,2.0149030205422647,3,1.9411368703026557,0.6164718129009776,7,4.034830434689693,2.327819564172587,6,1.2716314527997508,0.8256363636060242,2,0.0,0.0,0,3.309325727790273,1.836307845489124,5,4.155753190350744,2.6071242825122494,5
15,24,3.295836866004329,0.6744550475477927,27,1.3523928094442093,0.5403844260075351,4,2.345005808877998,0.4213870611187498,18,0.7576857016975165,0.4489502200479032,2,3.0985896589936988,0.7774542870199393,18,1.0296194171811581,0.6418538861723947,2,3.449987545831587,1.0668635903535293,16,2.3608540011180215,0.6729444732424258,10,3.754198920234579,0.8169725306722914,33,1.5404450409471488,0.7985076962177716,3,3.8508565701906585,0.9950790919289819,27,1.5187835441659694,0.5384407907989641,5,3.9226331845401616,0.8988852291776969,34,2.2082744135228043,0.9631743177730056,5,3.20545280453606,0.7303261838016996,22,1.698669046162043,0.49353412665592966,7
16,25,3.5600986642480112,1.1018749343029262,17,0.9295359586241757,0.4128452154057869,3,2.6076158037804396,0.7619380114360469,11,0.8183103235139513,0.4906229164484712,2,3.2268439945173775,0.9606265456942068,15,2.8545526600912114,1.3158122860814714,6,2.7300291078209855,0.9526583760450299,9,0.23638877806423034,0.23638877806423034,1,4.07527499950175,1.6958508197782012,13,2.856470206220483,1.3173014896329391,6,1.7462970951512977,0.5165236448806284,7,2.0104486701928845,0.8300063632771426,5,3.6971782569286313,1.3375041969504586,14,3.466777027308137,1.692552819144607,7,2.4069451083182885,0.9870598027623624,6,2.1709566505156093,1.0789763141512507,4
17,26,3.104586678466073,0.7251302264129961,20,3.254242968705492,0.9385413408089748,16,1.1735135968412274,0.44361687407254063,4,2.1822989271195437,0.8377284093710529,6,3.29336467685894,0.9634923333584493,16,3.45736765312921,1.4044616650753396,10,2.299246191728531,0.8245930666934465,7,2.7557816039234,1.3728713407877497,5,3.054001181677967,0.7524637577163648,18,3.4436180975461075,1.0232969514416712,17,2.3059128830867204,0.6949973198481069,9,3.4781584227982836,1.501605207630885,9,2.869791050196144,0.8696648905340997,12,3.349904087274605,1.4000876832522264,9,2.367123614131617,1.2286654169163074,4,3.32862668882732,1.7017131885432712,6
18,27,2.8903717578961645,1.1394342831883648,8,2.8602943026588865,1.2096708254405737,7,0.9932517730102834,0.6151856390902335,2,2.1709566505156093,1.5858280467949666,2,1.4816045409242156,0.6151856390902335,4,2.9566448848459443,1.28225572271998,7,0.0,0.0,0,3.475067230228611,1.499126891616418,9,2.341805806147327,0.8513711857748395,7,3.809621071810065,1.874362997763265,8,1.5404450409471488,1.041453874828161,2,3.3214324131932926,1.8468787684491346,5,2.33214389523559,0.9360933591703348,6,3.1849742731925192,1.4608274129824577,7,0.0,0.0,0,3.9226331845401616,2.5940101517246608,4
19,28,3.6375861597263857,1.292768303109067,14,0.47000362924573563,0.47000362924573563,1,0.9682504708048661,0.597003320007043,2,0.9808292530117263,0.6061358035703156,2,3.739255661439003,1.1162338900179294,20,1.622683139184121,0.7014459833746404,4,1.120591195386885,0.41651494429474933,4,1.561647248597752,0.8133963087115222,3,4.178992036282385,1.6651879275385921,15,1.9878743481543455,0.9458495341156995,4,2.4336133554004498,0.6241543090729939,12,0.7259370033829361,0.7259370033829361,1,3.8663280461660166,1.4679840634012489,14,1.5114575040738967,1.5114575040738967,1,1.7227665977411035,0.7654678421395714,4,2.655586631566469,1.1648854156178892,6
20,29,2.653241964607215,0.5068176023684519,20,2.799311792380535,0.933475556628256,10,2.9159673050851285,0.8983530311874878,12,2.473733349189875,1.3128272092380182,4,1.33500106673234,0.44468582126144574,5,2.973827438165941,1.1193827360253166,9,2.3856999997045523,0.7401721192048083,9,3.4657359027997265,1.6916760106710724,7,0.4054651081081644,0.4054651081081644,1,1.2809338454620642,1.2809338454620642,1,1.8191584434161694,0.8292793548845254,4,4.429228236158176,3.3541834168939793,3,1.4350845252893227,0.7259370033829361,3,2.4595888418037104,1.3015531326648,4,2.4876805766707255,0.7435233878850122,10,4.272490747605575,2.4069451083182885,7
21,30,2.4904468301636156,0.7451069194906562,10,1.8666607774011728,0.8614824953791601,4,3.241289419705101,1.6281506213662544,6,2.1935139979396836,0.8449140690319272,6,2.8885181892468417,0.7938540275364245,14,0.8034952377288107,0.4803664162812822,2,1.9506607518139112,0.9196185219668297,4,1.7805861686299298,0.9724610033412098,3,3.2162055963123217,1.0441651281835371,13,2.2009214392175456,0.7643598087852096,7,3.6000482404073204,1.5173226235262949,10,2.9032514207598257,1.908719120729233,3,2.373354163882253,0.8714925889742605,7,1.8191584434161694,1.2762934659055623,2,3.3775875160230218,2.345005808877998,3,3.541925041157273,1.647054776005407,8
22,31,1.882006347075833,0.40949737163610267,11,2.8410258837930096,0.8069336365318434,13,2.049841071903545,0.5606734294935583,9,3.1918471524802814,0.9382696385929302,15,1.7462970951512977,0.3578863311250294,11,2.69237238838298,0.6847789308894288,14,2.0583881324820035,0.6811709895132296,7,3.1654750481410856,0.963719425445266,14,2.54422322694442,0.5018969930216893,18,2.9583764870102223,0.7965056935470984,15,2.1041341542702074,0.5877866649021191,9,4.036008985209137,1.4082732678386658,18,3.01389957750944,0.5916372665024043,24,2.8977518651937872,0.7992217269514287,14,1.622683139184121,0.4580274381990198,7,3.926583156759476,1.0691218601574046,26
23,32,2.7746698884436056,0.5029687522707706,23,2.2617630984737906,0.7299611536826617,8,2.7870667414204346,0.7362522810947689,14,2.268683541318364,0.8938178760220965,6,2.9496883350525844,0.7249877864156039,17,2.751535313041949,0.7552789616669515,13,3.3141860046725258,1.1113513144455394,13,3.0007198150650303,1.2200921862058194,8,2.7578980068297776,0.552926799784626,20,3.042933875038285,0.93054759249902,13,3.662706579809913,0.9485427757113432,24,3.0461084808790577,1.099722782952137,10,2.272125885509337,0.6259384308664951,10,3.175272187386069,1.1265025426499422,11,1.7635885922613586,0.676340062243564,5,4.144720769547168,1.820508882514041,12
