,Dyad,Duration_1_0s,Mean_1_0s,Frequency_1_0s,Duration_2_0s,Mean_2_0s,Frequency_2_0s
25,34,4.91338990965742,1.8914791049957955,24,5.496074731471831,3.3311457488269616,9
26,35,4.702901674481427,1.955912864727373,18,5.542961449308249,3.490555539842476,8
27,36,5.2171073111224935,2.9621754900251482,10,5.603470919911822,3.679430188182961,7
28,37,5.138148614395216,2.0169522015872,26,5.630853294633443,3.2681853346738188,11
29,38,5.164595479590145,2.4188855486902066,17,5.358628213652139,3.0975364730090402,10
30,41,4.8825493654439756,1.6799999225492313,30,5.557342729750013,3.1140090144783636,12
31,42,4.967727793084979,2.1413037874166205,19,5.60285655606624,3.434703793551998,9
32,43,5.1916597136750715,2.558604484936985,15,5.590738193346991,4.215578427036217,4
33,44,4.82617812517188,1.511877583895239,35,5.135602339393,2.506704380675136,15
34,45,5.173132001124891,2.279657588350341,20,5.573294066502264,2.9824299023141125,14
35,47,4.733856526949414,1.706443623709173,25,5.270946169751904,3.013572191682322,10
36,48,5.073297055220967,2.3904814949002295,16,5.274024673978992,2.9260898404982436,11
37,49,5.0466457316192885,2.3113699225497784,17,5.432411101028736,3.5123979538016643,7
38,50,5.238567362142263,2.6662356506692033,14,5.5939676086489944,3.3243163373261977,10
39,51,4.788324729085938,1.7516316781372756,25,5.611667185748395,3.3414473772563813,10
40,52,4.653325227875139,1.4229866279198131,33,5.432411101028736,2.8486399580941786,14
41,53,5.099256485749784,2.536527271550481,14,5.4422733999652255,3.3926890661604694,8
42,54,5.2988172415896875,2.7921085041091,13,5.561706746430773,3.394756933341146,9
43,55,4.716413364804073,1.8365102439111072,21,5.487559366186565,2.9710717117320393,13
44,56,5.180096735160606,2.926917957553631,10,5.539562753226229,3.945715646394616,5
45,57,5.13304956431991,2.0822154685625613,24,5.626661420718707,3.3559675386874805,10
46,58,5.019925341003349,2.1424163408412245,20,5.447311919225924,3.3975797347502366,8
47,59,4.71521969113205,2.068707049285689,16,5.248952037002708,3.3340735108042185,7
48,60,4.912654885736052,1.9271008170978172,23,5.561322451287377,3.5084311417016623,8
49,61,5.061539623958024,2.4384748136866947,15,5.6153154933338705,4.020339148911605,5
50,62,4.812184355372417,1.3447453582070181,43,5.45944366011172,2.692106784131751,17
51,63,5.103923228519813,1.954689836707359,27,5.574179862194476,3.1301660366975246,12
52,64,5.069113823853952,2.5769091118182725,13,5.633002292595154,3.7083318800407516,7
53,65,4.839715160026744,1.8287965321453385,24,5.565669172526567,3.0456207354724856,13
54,66,5.130490255904535,2.387682875523236,17,5.57380033154282,3.3048088428599285,10
55,67,5.144583266605995,2.455842516844089,16,5.61434391200896,4.019381523748645,5
56,68,5.01529110563245,2.054706314545114,22,5.484381909620826,3.5630732472958204,7
57,69,5.152327739001472,2.029328387360131,26,5.599655765447303,2.942097057721359,15
58,70,4.916324614625014,1.9683830049073718,22,5.5627308120604635,3.3957504754000234,9
59,71,5.155024196721561,2.4654477134233255,16,5.513697527244412,3.9202556903546224,5
60,72,5.286582110329616,2.646962509122372,15,5.611423491339976,3.5572510116355,8
61,73,4.98246441712956,2.1092025888406662,20,5.5134287461649825,3.919991175077323,5
62,74,5.1515559851526325,1.995959283553442,27,5.616892302442188,3.171201704356965,12
63,75,4.604169685654508,1.7825505301427451,20,5.475905516202744,3.2103058741851336,10
64,77,4.8127262139605875,1.8792337020463599,22,5.473949935191195,3.309731654323145,9
65,78,4.944495491591711,1.9181473520779568,24,5.565924274568767,3.122242547934552,12
66,79,4.70922985591287,1.7546042543141016,23,5.49141399650995,2.5710843460290524,20
67,80,5.2192741592075835,2.648199089573353,14,5.5719005146203155,4.196951289683306,4
