,Dyad,TotalDurationAround1,MeanDurationAround1,FrequencyAround1,TotalDurationMonitor1,MeanDurationMonitor1,FrequencyMonitor1,TotalDurationKeyboard1,MeanDurationKeyboard1,FrequencyKeyboard1,TotalDurationFace1,MeanDurationFace1,FrequencyFace1,TotalDurationAround2,MeanDurationAround2,FrequencyAround2,TotalDurationMonitor2,MeanDurationMonitor2,FrequencyMonitor2,TotalDurationKeyboard2,MeanDurationKeyboard2,FrequencyKeyboard2,TotalDurationFace2,MeanDurationFace2,FrequencyFace2
10,17,3.055572273910008,0.6521673453006679,22,4.146831588272859,0.575442266851963,80,3.3945083935113587,0.5641169208162143,38,5.245619577547587,0.9605393275178835,117,2.8487778605973277,0.5011792467141852,25,4.826712455935327,0.9201855761356961,82,3.946746441486532,0.6812173276425677,52,4.701994370623631,0.7650597621502314,95
11,18,4.569197525529273,1.2025083178547717,41,2.4652706752711415,0.6403908281206343,12,3.427514689979529,0.6736025844869752,31,5.105743433289731,1.2167888772177142,69,5.111586101265382,1.654231496919047,39,2.312535423847214,0.6471032420585384,10,3.0587070727153796,0.8192290190310237,16,4.669708707125663,1.149451965447519,49
12,19,2.9356283494842854,0.9636368524713533,11,2.6741486494265287,0.9886113934537812,8,3.0413427848060435,0.845391282116622,15,5.520393681901823,2.1181436437562193,34,2.4849066497880004,0.7419373447293773,10,2.899588413001089,0.9994056385846617,10,2.6741486494265287,0.9886113934537812,8,5.558114235510282,2.5449369179465227,22
13,21,3.5676529966797923,0.9151306389366246,23,4.751864565138895,1.2672605435618545,45,4.3045154422322724,1.1672459486205085,33,4.366066615095153,0.9379217520004498,50,3.250374491927572,1.180052620608284,11,4.585987366571318,1.3495998661534927,34,4.861619556008773,1.5177692424256977,36,3.929207830182247,0.8235754729468522,39
14,23,4.203198967134183,1.2356867798154638,27,4.089890211872721,1.408845186641787,19,4.633757642840004,1.728432335276781,22,4.31035159796699,1.011312269736802,42,5.395595306012507,2.5795151244200336,18,3.054001181677967,1.80005827204275,4,3.7021246808639567,1.2443947188248514,16,3.0834378539730967,0.8708283577973978,15
15,24,3.258096538021482,0.6380874033769178,28,3.0788471802644977,0.5697930998541065,27,4.539030383483547,0.7189478265046786,88,5.0917031171850375,0.8728311623923684,116,3.1598332842344172,0.6074816987936705,27,3.173878458937465,0.8207583051525913,18,4.598145571051127,0.830044612239644,76,5.057730901622106,0.9114536552331859,105
16,25,3.2308043957334744,1.0063925665713418,14,4.054679305829669,1.1837700970084166,25,3.703768066607687,0.8230429400140501,31,5.195361365134823,1.463912479429088,54,3.3592173094212727,1.1429153965634802,13,4.511957804265912,1.5590214265200844,24,3.3452147469112186,0.8921418310948471,19,5.048359161038271,1.6453614425569136,37
17,26,3.8380175921176503,1.062313229250871,24,4.68428939044069,1.1191269131463792,52,2.8213788864092133,0.7554510638961002,14,4.886834186114309,1.057459551627889,70,4.948523455810333,2.1242555574696285,19,4.432006566978902,1.3270750014599193,30,3.162658144869972,0.9619012431262074,14,4.012772908528289,0.9032328749566982,37
18,27,4.601162164590552,1.7014368309347692,22,4.5605214343192095,1.399380407119834,31,1.9969653198555974,0.8212471831872611,5,4.619073091157083,1.4200917407031812,32,5.0477169690007875,2.4888670510040973,14,4.595793024175494,1.7351611226108112,21,1.5404450409471488,1.041453874828161,2,3.7977338590260183,1.315066851831523,16
19,28,3.8536874284151827,0.9524120402881493,29,2.4932054526026954,0.6549259677397474,12,2.538973871058276,0.6061358035703155,14,5.447024686709229,1.7265688836908422,50,3.631426879365851,1.112709978478948,18,3.727298564017881,1.2197303524283072,17,3.623451648791481,0.8339437841758802,28,5.232177564043492,1.6017488527662787,47
20,29,4.143134726391533,1.5362345084108053,17,4.572302582362474,1.0699841643226191,50,4.213607983048918,0.8467262684882458,50,4.339032143101027,0.7801368559252075,64,5.472270673671475,2.760800766487739,16,3.300762984340385,1.1020252612643497,13,3.282163564104119,0.7977931552799028,21,2.5041644663924147,0.4849378528138629,18
21,30,4.316598829351427,1.1551532279592638,34,3.572345637857985,0.9449665318508214,22,3.754198920234579,1.1615047188990122,19,5.015733387815688,1.2170613772023693,63,4.657129924918802,1.6435172260869628,25,3.7062280924485496,1.4605511317263833,12,4.441474093317302,1.6893186636735635,19,4.291372266405751,1.1181036319150832,35
22,31,4.903544887978615,1.1388838671870014,63,4.635052560469961,0.9164867910846645,68,3.254242968705492,0.5895771756759072,31,3.696351468952637,0.5244170509695297,57,5.129109448899465,1.2872794104523464,64,4.170791067715284,0.8110754489520426,51,2.7557816039234,0.531561522245169,21,4.000644197081674,0.5880630225106209,67
