,Dyad,TotalDurationAround1,MeanDurationAround1,FrequencyAround1,TotalDurationMonitor1,MeanDurationMonitor1,FrequencyMonitor1,TotalDurationKeyboard1,MeanDurationKeyboard1,FrequencyKeyboard1,TotalDurationFace1,MeanDurationFace1,FrequencyFace1,TotalDurationAround2,MeanDurationAround2,FrequencyAround2,TotalDurationMonitor2,MeanDurationMonitor2,FrequencyMonitor2,TotalDurationKeyboard2,MeanDurationKeyboard2,FrequencyKeyboard2,TotalDurationFace2,MeanDurationFace2,FrequencyFace2
10,17,20.233333333333334,0.9196969697,22,62.233333333333334,0.7779166666666666,80,28.8,0.7578947368333334,38,188.73333333333332,1.6131054131000002,117,16.266666666666666,0.6506666666666666,25,123.8,1.5097560975666666,82,50.766666666666666,0.9762820512666668,52,109.16666666666667,1.1491228070333332,95
11,18,95.46666666666667,2.3284552845666666,41,10.766666666666667,0.8972222222333333,12,29.8,0.9612903225666666,31,163.96666666666667,2.3763285024,69,164.93333333333334,4.229059829,39,9.1,0.91,10,20.3,1.26875,16,105.66666666666667,2.156462585033333,49
12,19,17.833333333333332,1.6212121212000001,11,13.5,1.6875,8,19.933333333333334,1.3288888889,15,248.73333333333332,7.315686274666667,34,11.0,1.1,10,17.166666666666668,1.7166666666666666,10,13.5,1.6875,8,258.3333333333333,11.742424242333334,22
13,21,34.43333333333333,1.4971014492666666,23,114.8,2.5511111111,45,73.03333333333333,2.2131313131333332,33,77.73333333333333,1.5546666666666666,50,24.8,2.2545454545333334,11,97.1,2.8558823529333335,34,128.23333333333332,3.562037037,36,49.86666666666667,1.2786324786333334,39
14,23,65.9,2.4407407407333332,27,58.733333333333334,3.0912280701666663,19,101.9,4.6318181816666675,22,73.46666666666667,1.7492063492000003,42,219.43333333333334,12.190740740666666,18,20.2,5.05,4,39.53333333333333,2.470833333333333,16,20.833333333333332,1.3888888889,15
15,24,25.0,0.8928571428666666,28,20.733333333333334,0.7679012345666666,27,92.6,1.0522727272666668,88,161.66666666666666,1.3936781609333335,116,22.566666666666666,0.8358024691333334,27,22.9,1.2722222222333335,18,98.3,1.2934210526333334,76,156.23333333333332,1.4879365079333335,105
16,25,24.3,1.7357142857,14,56.666666666666664,2.2666666666666666,25,39.6,1.2774193548333335,31,179.43333333333334,3.3228395061666665,54,27.766666666666666,2.1358974359,13,90.1,3.754166666666667,24,27.366666666666667,1.4403508772000002,19,154.76666666666668,4.182882883,37
17,26,45.43333333333333,1.8930555555666666,24,107.23333333333333,2.062179487166667,52,15.8,1.1285714285666666,14,131.53333333333333,1.8790476190333334,70,139.96666666666667,7.366666666666666,19,83.1,2.77,30,22.633333333333333,1.6166666666666667,14,54.3,1.4675675675666666,37
18,27,98.6,4.481818181666667,22,94.63333333333334,3.0526881720333336,31,6.366666666666666,1.2733333333333334,5,100.4,3.1375,32,154.66666666666666,11.047619047666666,14,98.06666666666666,4.669841270000001,21,3.6666666666666665,1.8333333333333333,2,43.6,2.725,16
19,28,46.166666666666664,1.591954023,29,11.1,0.925,12,11.666666666666666,0.8333333333333334,14,231.06666666666666,4.621333333333333,50,36.766666666666666,2.0425925926,18,40.56666666666667,2.3862745098,17,36.46666666666667,1.3023809523666665,28,186.2,3.961702127666667,47
