,Dyad,TotalDurationFace1_0s,MeanDurationFace1_0s,FrequencyFace1_0s,TotalDurationMonitor1_0s,MeanDurationMonitor1_0s,FrequencyMonitor1_0s,TotalDurationKeyboard1_0s,MeanDurationKeyboard1_0s,FrequencyKeyboard1_0s,TotalDurationAround1_0s,MeanDurationAround1_0s,FrequencyAround1_0s,TotalDurationFace1_200s,MeanDurationFace1_200s,FrequencyFace1_200s,TotalDurationMonitor1_200s,MeanDurationMonitor1_200s,FrequencyMonitor1_200s,TotalDurationKeyboard1_200s,MeanDurationKeyboard1_200s,FrequencyKeyboard1_200s,TotalDurationAround1_200s,MeanDurationAround1_200s,FrequencyAround1_200s,TotalDurationFace2_0s,MeanDurationFace2_0s,FrequencyFace2_0s,TotalDurationMonitor2_0s,MeanDurationMonitor2_0s,FrequencyMonitor2_0s,TotalDurationKeyboard2_0s,MeanDurationKeyboard2_0s,FrequencyKeyboard2_0s,TotalDurationAround2_0s,MeanDurationAround2_0s,FrequencyAround2_0s,TotalDurationFace2_200s,MeanDurationFace2_200s,FrequencyFace2_200s,TotalDurationMonitor2_200s,MeanDurationMonitor2_200s,FrequencyMonitor2_200s,TotalDurationKeyboard2_200s,MeanDurationKeyboard2_200s,FrequencyKeyboard2_200s,TotalDurationAround2_200s,MeanDurationAround2_200s,FrequencyAround2_200s,DifTotalDurationAround_1S_1E,DifTotalDurationAround_2S_2E,DifTotalDurationAround_1S_2S,DifTotalDurationAround_1E_2E,DifTotalDurationAround_1E_2S,DifTotalDurationFace_1S_1E,DifTotalDurationFace_2S_2E,DifTotalDurationFace_1S_2S,DifTotalDurationFace_1E_2E,DifTotalDurationFace_1E_2S,DifMeanDurationAround_1S_1E,DifMeanDurationAround_2S_2E,DifMeanDurationAround_1S_2S,DifMeanDurationAround_1E_2E,DifMeanDurationAround_1E_2S,DifMeanDurationFace_1S_1E,DifMeanDurationFace_2S_2E,DifMeanDurationFace_1S_2S,DifMeanDurationFace_1E_2E,DifMeanDurationFace_1E_2S
22,31,5.566666666666666,0.5060606060666667,11,16.133333333333333,1.2410256410333331,13,6.766666666666667,0.7518518518666666,9,23.333333333333332,1.5555555555666667,15,4.733333333333333,0.43030303030000006,11,13.766666666666667,0.9833333333333333,14,6.833333333333333,0.9761904761999999,7,22.7,1.6214285714333334,14,11.733333333333333,0.6518518518666666,18,18.266666666666666,1.2177777777666667,15,7.2,0.8,9,55.6,3.0888888889,18,19.366666666666667,0.8069444444333335,24,17.133333333333333,1.2238095238,14,4.066666666666666,0.5809523809666667,7,49.733333333333334,1.9128205128333333,26,0.6333333333333329,5.866666666666667,32.266666666666666,27.033333333333335,32.900000000000006,0.833333333333333,7.633333333333335,6.166666666666666,14.633333333333333,6.999999999999999,0.06587301586666672,1.1760683760666668,1.5333333333333334,0.2913919413999999,1.4674603174666667,0.07575757576666664,0.15509259256666685,0.1457912457999999,0.3766414141333334,0.22154882156666655
23,32,15.033333333333333,0.6536231884,23,8.6,1.075,8,15.233333333333333,1.0880952381,14,8.666666666666666,1.4444444444333333,6,18.1,1.0647058823666666,17,14.666666666666666,1.1282051282,13,26.5,2.0384615384666662,13,19.1,2.3875,8,14.766666666666667,0.7383333333333333,20,19.966666666666665,1.5358974359,13,37.96666666666667,1.5819444444333333,24,20.033333333333335,2.0033333333333334,10,8.7,0.87,10,22.933333333333334,2.084848484833333,11,4.833333333333333,0.9666666666666667,5,62.1,5.175,12,10.433333333333335,42.06666666666666,11.366666666666669,43.0,0.9333333333333336,3.066666666666668,6.066666666666668,0.2666666666666657,9.400000000000002,3.333333333333334,0.9430555555666669,3.1716666666666664,0.5588888889000001,2.7874999999999996,0.38416666666666677,0.41108269396666663,0.1316666666666667,0.08471014493333329,0.19470588236666664,0.32637254903333335
24,33,20.166666666666668,1.0614035087666667,19,6.466666666666667,0.8083333333333333,8,6.6,0.66,10,9.633333333333333,1.6055555555666667,6,24.933333333333334,1.1333333333333333,22,3.3,1.1,3,15.766666666666667,0.7883333333333333,20,17.433333333333334,1.0895833333333333,16,19.033333333333335,1.1196078431333334,17,13.966666666666667,1.9952380952333333,7,27.0,1.4210526315666667,19,26.2,2.183333333333333,12,21.7,1.2055555555666666,18,10.166666666666666,1.6944444444333333,6,28.933333333333334,1.5228070175333335,19,23.966666666666665,1.8435897436,13,7.800000000000001,2.2333333333333343,16.566666666666666,6.533333333333331,8.766666666666666,4.766666666666666,2.6666666666666643,1.1333333333333329,3.2333333333333343,5.899999999999999,0.5159722222333334,0.3397435897333332,0.5777777777666664,0.7540064102666666,1.0937499999999998,0.07192982456666663,0.08594771243333321,0.05820433436666672,0.0722222222333333,0.013725490199999912
25,34,7.866666666666666,0.7866666666666667,10,5.9,0.8428571428666666,7,7.833333333333333,0.7121212121333333,11,8.233333333333333,0.8233333333333334,10,10.2,1.4571428571333334,7,1.8,0.9,2,12.1,1.7285714285666667,7,29.066666666666666,3.2296296296333336,9,34.266666666666666,1.4898550724666666,23,5.466666666666667,1.3666666666666667,4,12.066666666666666,1.0969696969666667,11,38.2,3.183333333333333,12,26.533333333333335,1.4740740740666667,18,5.066666666666666,1.0133333333333332,5,13.9,1.1583333333333334,12,41.43333333333333,3.7666666666666666,11,20.833333333333336,3.233333333333327,29.96666666666667,12.366666666666664,9.133333333333336,2.333333333333333,7.733333333333331,26.4,16.333333333333336,24.066666666666666,2.4062962963000003,0.5833333333333335,2.36,0.537037037033333,0.04629629630000043,0.6704761904666666,0.015780998399999913,0.7031884057999999,0.016931216933333326,0.03271221533333324
26,35,9.266666666666667,0.6619047619,14,9.9,1.2375,8,4.6,1.15,4,4.133333333333334,1.0333333333333334,4,2.8,0.4,7,9.633333333333333,0.8757575757666667,11,9.0,3.0,3,10.166666666666666,1.0166666666666666,10,12.966666666666667,0.9974358974333335,13,42.06666666666667,2.474509803933333,17,2.8666666666666667,0.7166666666666667,4,33.1,2.3642857143000002,14,18.133333333333333,1.6484848485,11,25.566666666666666,5.113333333333333,5,0.0,0.0,0,37.2,4.133333333333334,9,6.033333333333332,4.100000000000001,28.96666666666667,27.03333333333334,22.933333333333337,6.466666666666668,5.166666666666666,3.6999999999999993,15.333333333333332,10.166666666666668,0.01666666666666683,1.7690476190333335,1.3309523809666668,3.116666666666667,1.3476190476333336,0.2619047619,0.6510489510666666,0.33553113553333347,1.2484848485,0.5974358974333335
27,36,16.333333333333332,0.9607843137333333,17,23.633333333333333,1.3129629629666666,18,6.0,0.75,8,14.466666666666667,1.1128205128333333,13,5.033333333333333,0.6291666666666667,8,17.666666666666668,1.3589743589666667,13,19.4,1.6166666666666667,12,19.3,2.757142857133333,7,11.0,0.7857142856999999,14,29.833333333333332,1.9888888889,15,23.266666666666666,1.6619047619,14,32.1,2.00625,16,12.433333333333334,1.2433333333333332,10,24.566666666666666,1.8897435897333332,13,27.833333333333332,2.1410256410333335,13,20.066666666666666,1.6722222222333334,12,4.833333333333334,12.033333333333335,17.633333333333333,0.7666666666666657,12.8,11.299999999999999,1.4333333333333336,5.333333333333332,7.4,5.966666666666667,1.6443223443,0.3340277777666667,0.8934294871666668,1.0849206348999998,0.7508928571333331,0.33161764706666663,0.4576190476333333,0.17507002803333338,0.6141666666666665,0.15654761903333325
28,37,23.133333333333333,0.9638888888999999,24,8.333333333333334,0.7575757575666666,11,7.2,0.5142857143,14,19.933333333333334,1.4238095238,14,21.666666666666668,1.0317460317333333,21,10.966666666666667,0.9138888889,12,0.6,0.3,2,21.866666666666667,1.2862745098,17,27.6,1.0222222222333333,27,13.466666666666667,0.8416666666666667,16,4.966666666666667,0.7095238095333333,7,47.733333333333334,1.9888888889,24,27.633333333333333,1.842222222233333,15,10.033333333333333,1.4333333333333333,7,1.4,0.7,2,51.43333333333333,3.428888889,15,1.9333333333333336,3.6999999999999957,27.8,29.566666666666663,25.866666666666667,1.466666666666665,0.03333333333333144,4.466666666666669,5.966666666666665,5.933333333333334,0.137535014,1.4400000001,0.5650793651000001,2.1426143792000003,0.7026143791000001,0.06785714283333344,0.8199999999999998,0.05833333333333335,0.8104761904999997,0.009523809500000091
29,38,15.233333333333333,1.0155555555666667,15,17.7,1.475,12,4.966666666666667,0.5518518518666666,9,22.0,1.1,20,13.566666666666666,1.0435897436000001,13,22.666666666666668,2.0606060606,11,9.466666666666667,0.8606060606000001,11,12.1,1.1,11,8.966666666666667,0.9962962963,9,37.46666666666667,2.6761904762,14,10.333333333333334,1.4761904762,7,17.6,1.4666666666666666,12,11.9,1.3222222222333333,9,30.266666666666666,2.3282051282,13,4.066666666666666,0.8133333333333332,5,30.166666666666668,2.3205128205,13,9.9,12.566666666666666,4.399999999999999,18.06666666666667,5.500000000000002,1.666666666666666,2.9333333333333336,6.266666666666666,1.666666666666666,4.6,0.0,0.8538461538333333,0.3666666666666665,1.2205128204999998,0.3666666666666665,0.028034188033333463,0.32592592593333325,0.019259259266666606,0.2786324786333332,0.04729344730000007
30,41,19.266666666666666,1.6055555555666667,12,2.966666666666667,0.7416666666666667,4,19.133333333333333,1.7393939394,11,0.0,0.0,0,10.7,1.5285714285666667,7,0.7,0.35,2,29.933333333333334,2.4944444444333334,12,1.3666666666666667,1.3666666666666667,1,44.43333333333333,1.9318840579666665,23,4.6,2.3,2,37.13333333333333,2.4755555555666664,15,4.866666666666666,0.9733333333333333,5,33.733333333333334,2.2488888889,15,8.033333333333333,1.6066666666666667,5,40.13333333333333,3.648484848333333,11,0.36666666666666664,0.36666666666666664,1,1.3666666666666667,4.5,4.866666666666666,1.0,3.4999999999999996,8.566666666666666,10.699999999999996,25.166666666666664,23.033333333333335,33.733333333333334,1.3666666666666667,0.6066666666666667,0.9733333333333333,1.0,0.3933333333333334,0.07698412700000001,0.3170048309333333,0.3263285023999998,0.7203174603333331,0.4033126293999998
31,42,13.6,1.2363636363666666,11,8.566666666666666,1.7133333333333334,5,1.7,0.85,2,17.933333333333334,2.9888888889,6,11.8,0.9833333333333333,12,4.266666666666667,1.4222222222333334,3,4.8,0.9600000000000001,5,33.333333333333336,3.3333333333333335,10,11.2,0.8,14,23.833333333333332,1.8333333333333333,13,15.833333333333334,1.2179487179333333,13,37.6,3.76,10,9.566666666666666,1.1958333333333333,8,28.366666666666667,2.5787878788,11,7.966666666666667,0.7966666666666666,10,45.56666666666667,3.0377777777666664,15,15.400000000000002,7.966666666666669,19.666666666666668,12.233333333333334,4.266666666666666,1.799999999999999,1.6333333333333329,2.4000000000000004,2.2333333333333343,0.6000000000000014,0.34444444443333344,0.7222222222333334,0.7711111110999997,0.2955555555666671,0.4266666666666663,0.2530303030333333,0.39583333333333326,0.43636363636666653,0.21250000000000002,0.18333333333333324
32,43,21.433333333333334,1.1280701754333333,19,12.6,1.26,10,17.333333333333332,1.1555555555666668,15,4.833333333333333,0.8055555555666666,6,7.133333333333334,0.7925925926,9,11.966666666666667,1.1966666666666665,10,21.0,2.3333333333333335,9,20.2,3.3666666666666667,6,14.066666666666666,1.2787878788,11,23.666666666666668,2.3666666666666667,10,7.066666666666666,2.3555555555666667,3,35.36666666666667,5.894444444333333,6,17.833333333333332,1.6212121212000001,11,20.7,1.4785714285666667,14,1.8666666666666667,1.8666666666666667,1,52.8,5.866666666666666,9,15.366666666666667,17.43333333333333,30.533333333333335,32.599999999999994,15.166666666666668,14.3,3.7666666666666657,7.366666666666667,10.7,6.933333333333333,2.5611111111000002,0.02777777766666656,5.088888888766666,2.4999999999999996,2.527777777666666,0.3354775828333333,0.34242424240000013,0.15071770336666668,0.8286195286000001,0.48619528619999997
33,44,24.066666666666666,1.0027777777666667,24,12.766666666666667,0.8511111111,15,0.0,0.0,0,10.566666666666666,1.5095238095333334,7,25.733333333333334,1.7155555555666666,15,5.9,0.9833333333333333,6,0.0,0.0,0,9.3,0.8454545454666668,11,25.0,1.9230769230666667,13,16.733333333333334,2.7888888889,6,0.0,0.0,0,25.4,3.175,8,25.033333333333335,1.7880952381,14,7.9,1.5799999999999998,5,0.0,0.0,0,14.833333333333334,2.4722222222333334,6,1.2666666666666657,10.566666666666665,14.833333333333332,5.533333333333333,16.099999999999998,1.6666666666666679,0.03333333333333499,0.9333333333333336,0.6999999999999993,0.7333333333333343,0.6640692640666667,0.7027777777666664,1.6654761904666664,1.6267676767666668,2.329545454533333,0.7127777778,0.13498168496666674,0.9202991453,0.07253968253333332,0.20752136750000005
34,45,28.366666666666667,1.3507936508,21,1.1666666666666667,1.1666666666666667,1,28.366666666666667,1.5759259259333334,18,1.8333333333333333,0.4583333333333333,4,20.133333333333333,1.5487179487333333,13,4.633333333333334,0.7722222222333333,6,30.966666666666665,2.2119047619,14,4.033333333333333,0.6722222222333334,6,22.233333333333334,1.3078431372666666,17,15.866666666666667,1.5866666666666667,10,40.4,4.04,10,6.266666666666667,1.5666666666666667,4,29.933333333333334,1.4253968254,21,5.7,1.425,4,32.96666666666667,2.060416666666667,16,15.9,1.325,12,2.2,9.633333333333333,4.433333333333334,11.866666666666667,2.2333333333333334,8.233333333333334,7.699999999999999,6.133333333333333,9.8,2.1000000000000014,0.21388888890000007,0.2416666666666667,1.1083333333333334,0.6527777777666666,0.8944444444333333,0.19792429793333333,0.11755368813333344,0.042950513533333456,0.12332112333333334,0.24087481146666678
35,47,28.7,1.5944444444333332,18,0.16666666666666666,0.16666666666666666,1,9.466666666666667,0.8606060606000001,11,0.0,0.0,0,21.566666666666666,2.1566666666666667,10,0.0,0.0,0,15.166666666666666,1.6851851852000002,9,3.9,1.95,2,34.86666666666667,2.3244444444333334,15,3.0,1.5,2,21.733333333333334,1.8111111111,12,3.533333333333333,0.8833333333333333,4,18.866666666666667,2.3583333333333334,8,2.7666666666666666,1.3833333333333333,2,27.3,2.73,10,6.366666666666666,1.5916666666666666,4,3.9,2.833333333333333,3.533333333333333,2.4666666666666663,0.3666666666666667,7.133333333333333,16.0,6.166666666666668,2.6999999999999993,13.3,1.95,0.7083333333333333,0.8833333333333333,0.3583333333333334,1.0666666666666667,0.5622222222333335,0.03388888889999997,0.7300000000000002,0.20166666666666666,0.1677777777666667
36,48,36.93333333333333,1.3679012345666666,27,5.366666666666666,0.6708333333333333,8,14.333333333333334,0.8431372548999999,17,2.1,0.7,3,36.63333333333333,1.4653333333333334,25,6.133333333333334,0.8761904761999999,7,7.933333333333334,0.9916666666666667,8,5.633333333333334,0.9388888888999999,6,46.333333333333336,2.106060606066667,22,7.2,0.7200000000000001,10,9.366666666666667,0.6690476190333333,14,0.6666666666666666,0.6666666666666666,1,49.1,2.888235294133333,17,7.233333333333333,0.9041666666666667,8,3.933333333333333,0.6555555555666667,6,5.133333333333334,1.2833333333333334,4,3.5333333333333337,4.466666666666667,1.4333333333333336,0.5,4.966666666666667,0.29999999999999716,2.7666666666666657,9.400000000000006,12.466666666666669,9.700000000000003,0.23888888889999993,0.6166666666666668,0.033333333333333326,0.34444444443333355,0.27222222223333326,0.09743209876666681,0.7821746880666662,0.7381593715000003,1.4229019607999998,0.6407272727333335
